host_id,host_name,host_response_rate,host_listings_count,host_total_listings_count
13660,Simon,100%,1.0,1.0
83531,Abdel,Desconocido,2.0,2.0
82175,Jesus,100%,9.0,9.0
346366726,Alvaro,Desconocido,1.0,1.0
114340,Agustina,100%,1.0,1.0
132883,Angela,Desconocido,1.0,1.0
34217435,Luis,100%,12.0,12.0
218515,Sergio,100%,1.0,1.0
303845,Arturo,100%,2.0,2.0
353616,Diana,100%,3.0,3.0
353738,Raquel,100%,7.0,7.0
391014,Juan,Desconocido,1.0,1.0
448981,Mercedes,Desconocido,1.0,1.0
259229,Felipe,100%,1.0,1.0
364585,Vin,100%,5.0,5.0
495849,Raul,100%,1.0,1.0
499977,Charo,100%,3.0,3.0
513331,Mark´S,100%,3.0,3.0
527760,Diana,Desconocido,1.0,1.0
533936,Carlos Alberto,100%,1.0,1.0
534515,Guillermo,100%,1.0,1.0
361930,Maria,100%,6.0,6.0
605612,Ulises,100%,5.0,5.0
632589,Janasor,100%,1.0,1.0
650803,Jose Luis,75%,1.0,1.0
666482,Cinthia,100%,1.0,1.0
723539,Eloisa,100%,11.0,11.0
739627,Isabel,100%,1.0,1.0
752704,Miguel Angel,83%,1.0,1.0
780107,Sonia,Desconocido,2.0,2.0
796746,Consuelo,100%,1.0,1.0
814490,Rafael,Desconocido,3.0,3.0
596469,Gabriel Avalos,100%,32.0,32.0
852616,Meyling,100%,4.0,4.0
749212,Henrietta,Desconocido,1.0,1.0
75944,Maite,Desconocido,3.0,3.0
1004721,Alex,50%,1.0,1.0
1008659,Nuria,100%,2.0,2.0
1031664,José,Desconocido,1.0,1.0
1090760,Jon,100%,1.0,1.0
1732442,Anouk,100%,13.0,13.0
1174648,Rebeca,100%,2.0,2.0
1172225,Eva,Desconocido,1.0,1.0
1130651,Sergio,82%,8.0,8.0
1212528,Silvia,0%,1.0,1.0
630482,Raquel,Desconocido,2.0,2.0
1367452,Javier,100%,1.0,1.0
1351865,Angela Y Jaime,86%,4.0,4.0
1373873,Al,100%,1.0,1.0
1406073,Jose Antonio,100%,2.0,2.0
1466005,Pe,100%,1.0,1.0
1496188,Juanpe,Desconocido,2.0,2.0
901218,Myrko,100%,50.0,50.0
1522694,Isdel Pablo,100%,3.0,3.0
4677030,Jaime,100%,6.0,6.0
1596220,Paloma,100%,1.0,1.0
1716726,Jesús,100%,5.0,5.0
1713427,Helena,100%,1.0,1.0
1713524,Oliver,100%,2.0,2.0
1714866,Francisco,Desconocido,1.0,1.0
1721158,Pau&Patricia,100%,1.0,1.0
1722284,Cesar,100%,2.0,2.0
1694537,Miguel Angel & Iaia,100%,1.0,1.0
1703448,Elena,100%,2.0,2.0
1738288,Jose Angel,100%,3.0,3.0
1738846,Carlos,100%,1.0,1.0
1751133,The Punset Family,91%,2.0,2.0
1729503,Ana,100%,3.0,3.0
1836617,Bibiana,100%,1.0,1.0
1871034,Olga,100%,1.0,1.0
1888816,Margarita,100%,4.0,4.0
1892467,Laura,100%,3.0,3.0
1981346,Daniel,100%,1.0,1.0
1408525,Mad4Rent,95%,45.0,45.0
2150362,Nuria,89%,2.0,2.0
2024487,Fernando,100%,1.0,1.0
1973909,Jose Y Ana,Desconocido,1.0,1.0
2044655,Sylvia,100%,8.0,8.0
2068619,Alfonso,Desconocido,1.0,1.0
9934732,Fernando Javier,100%,3.0,3.0
2106353,Reyes,90%,0.0,0.0
2134007,Lola,100%,2.0,2.0
2157770,Gonzalo,Desconocido,0.0,0.0
2184106,Pedro,Desconocido,0.0,0.0
2230279,Marina,100%,1.0,1.0
2240898,Alejandro,100%,1.0,1.0
617086,Agata,100%,1.0,1.0
2290984,Artur,Desconocido,0.0,0.0
2296476,Jose Manuel,100%,1.0,1.0
2302267,Carmen,Desconocido,1.0,1.0
2322563,Julio And Sarah,100%,3.0,3.0
2332600,Rodrigo,100%,6.0,6.0
2346162,Carlos,Desconocido,0.0,0.0
2376402,Jesús,100%,0.0,0.0
2427722,Ignacio,100%,2.0,2.0
2456671,José & María,100%,4.0,4.0
2467212,Joël,100%,1.0,1.0
2480913,Elvira,100%,1.0,1.0
1932547,Nieves,100%,1.0,1.0
2501740,Moises&Cristina + Little Sophie&Eli,100%,4.0,4.0
2517520,Ruben,100%,1.0,1.0
2536524,Marina,100%,5.0,5.0
1150912,Andrew,Desconocido,1.0,1.0
2563986,Elena,100%,4.0,4.0
2564339,Alfonso & Guillermo,98%,24.0,24.0
1652272,Xuan,100%,1.0,1.0
2576044,Angel,100%,1.0,1.0
2249249,David,Desconocido,1.0,1.0
